omc,code,name,area,latitude,longitude
IOCL,360900,COCO NELLYADI,"Nelyadi, NH75, Dakshina Kannada",12.8419744,75.3761023
IOCL,213076,Siddeshwar Petroleums,"Gollarahatty, NH48, Davanagere ",14.41326333,75.985515
IOCL,232538,Prasanti F stn Vishramgreh,"BORIGUMMA, NH-43, KORAPUT DISTRICT",19.0597,82.5334
IOCL,178895,Top Value Indian Oil,"NH-48, Gangrar, Chittorgarh",25.019739,74.637594
IOCL,178886,Swagat RO(Ratanpur Indian Oil),NH-8  RATANPUR BORDER ,23.753086,73.465965
IOCL,365922,Adhoc Choudhary Filling Station,NH-79 (New NH-56),25.244716,72.140635
IOCL,183254,SWAGAT DIWANCHERU ,DIWANCHERUVU NH-16,17.050843,81.855853
IOCL,298972,DG RAJ HIGHWAY SERVICES,BELWA NH-28,26.45866035,84.7916075
IOCL,187683,Sri Vinayaka Petroleums,Bijapur,17.22613694,75.80500611
IOCL,370982,SWAGAT COCO JASIDIH,Deoghar RSA,24.527724,86.624752
IOCL,363643,Swagat COCO Thimmapur,Rangareddy South,17.155589,78.292593
IOCL,123275,DHARIWAL PETROLEUM,Bikaner,28.158358,73.379242
IOCL,135645,Shri Swami Samarth Auto,Pimpri Chinchwad,18.759117,73.836274
BPCL,203215,BP KHADKI,KHADKI,18.35825,74.62248
BPCL,162274,BP - Thoppur,Dharmapuri,12.01638,78.08905
BPCL,215945,BP - Tajpur,East Medinipur,22.15869,87.95051
BPCL,132046,BP - Tembhurni,SOLAPUR,18.01222,75.22743
BPCL,225102,BP - Bhalgaon,ERANDOL,20.9085,75.28523
BPCL,210070,BP - Taroda,BULDHANA,20.66682,76.7165
BPCL,157516,BP Khalilabad,Khalilabad,26.78537,83.01178
BPCL,156273,BP Ulundurpet,Kallakuruchi,11.71881,79.33575
BPCL,157381,BP - Sehora,Sehora,23.46322,80.09513
BPCL,160234,BP - Halol,PANCH MAHALS,22.59873,73.45119
BPCL,155559,BP - Birohi,Dist- Nadia,23.04326,88.53662
BPCL,155092,BP - Bijapur,HITTANHALLI,16.74239,75.75342
BPCL,142810,BP - Zodge,NASHIK,20.75547,74.71321
BPCL,239362,BP-HATHMANA,BAREILLY,28.88851,79.55509
BPCL,119107,BP Navani,Navani,11.34409,78.16914
BPCL,166472,BP Trichy,Tiruchirapalli,11.03248,78.80801
BPCL,123319,BP-DHONE, UNGARANI GUNTA,15.36871,77.83141
BPCL,181170,BP-MANKI,Manki,21.11367,81.10268
BPCL,150778,BP-MIRZAMURAD,Mirzamurad,25.28276,82.78891
BPCL,135416,BP-RASANI,Rasani,21.19275,81.96778
BPCL,118784,BP Mathura,Mathura,27.37902,77.69211
BPCL,211259,BP Waluj,Aurangabad,19.78101,75.19933
BPCL,146333,BP Girisola,Ganjam,19.33463,84.76862
BPCL,160096,BP Paritala,NTR,16.62314,80.45258
BPCL,120320,BP-ADILABAD I,Adilabad,19.74121,78.5477
BPCL,158208,BP Thonakkal,Thonakkal,8.64126,76.84352
BPCL,162629,BP - Karedu,NH 16,15.18669,80.01159
BPCL,154342,BP KELEWADE,Kelewade,18.26979,73.88034
BPCL,154433,BP - Gooty,NH 44,15.0584,77.63059
BPCL,127375,BP-ARJUN,Dakachiya ,22.87221,75.96455
BPCL,162324,BP-BC ROAD,Sathikal,12.82461,75.17496
BPCL,224423,BP-BRAHMANKOTKUR,BRAHMANAKOTKUR,15.81546,78.19952
BPCL,101872,BP - Rajanagaram,Rajanagaram,17.08156,81.90153
BPCL,161792,BP AMDI,Amdi,21.3754,79.2489
BPCL,150984,BP- MAWAI,"JAINABAD, DISTRICT AYODHYA",26.78542,81.63154
BPCL,161433,BP - Aklera,AKLERA,24.40925,76.56424
BPCL,215072,BP - Veerpur,Tapi Area,21.129,73.44122
BPCL,138917,BP GUNA,Guna,24.72585,77.3623
BPCL,164856,BP - Handiaya,Khuddi Khurd,30.31854,75.45799
BPCL,128928,BP - NANDYAL,NANDYAL,15.45348,78.49995
BPCL,116244,SHRI RAGHAVENDRA AGENCIES,BHUTNAL ,16.9002,75.72889
BPCL,129347,BP Anakapalle,Anakapalle,17.66667,82.95906
BPCL,150824,BP Chandikol,Jajpur,20.70827,86.13496
BPCL,156140,BP Chotila,Chotila,22.47698,71.27998
BPCL,135446,BP - Bazargaon,NAGPUR,21.13722,78.79413
BPCL,160190,BP Piparda,Rajsamand,25.00187,73.84647
BPCL,123208,BP-SIRA MAFAH,Sira,13.70628,76.9152
BPCL,163899,BP BILIYADA,Gondal,22.03236,70.78707
BPCL,151029,BP Gopalpur,Gopalpur,23.00157,88.14751
BPCL,135605,BP-GADOTA,GADOTA,26.78538,75.40982
BPCL,157913,BP - Othakkadai,Madurai,9.9445,78.15418
BPCL,164855,BP - SAIDPUR,SAIDPURA,30.58831,76.42144
BPCL,144304,BP Maujgarh,Fazilka,30.06902,73.99613
BPCL,135068,BP CHITYAL,CHITYAL,17.23011,79.00035
BPCL,128406,BP Palari,Pali,25.0178,72.91901
BPCL,158207,BP - Ranebennur - I,HULEHALI,14.61981,75.62436
