id,product,city,latitude,longitude,price
156,Diesel,ABBAVARAM,14.059,78.782,89.73
157,Petrol,BURAKALAYAKOTA,13.751,78.319,103.84
158,Diesel,BURAKALAYAKOTA,13.751,78.319,89.73
159,Petrol,CHINNAMANDYAM,13.934,78.682,103.84
160,Diesel,CHINNAMANDYAM,13.934,78.682,89.51
161,Petrol,CHINTAPARTI,13.642,78.696,103.84
162,Diesel,CHINTAPARTI,13.642,78.696,89.71
163,Petrol,CTM ROAD,13.615,78.541,103.84
164,Diesel,CTM ROAD,13.615,78.541,89.73
165,Petrol,PEDDAMANDYAM,13.927,78.526,103.05
166,Diesel,PEDDAMANDYAM,13.927,78.526,88.98
167,Petrol,DOODIPALLI,13.629,78.964,99.72
168,Diesel,DOODIPALLI,13.629,78.964,85.42
169,Petrol,GALIVEEDU,14.03,78.515,99.72
170,Diesel,GALIVEEDU,14.03,78.515,85.55
171,Petrol,B.KOTHAKOTA,13.671,78.427,99.39
172,Diesel,B.KOTHAKOTA,13.671,78.427,85.26
173,Petrol,GARNIMITTA VILL,13.818,78.902,98.91
174,Diesel,GARNIMITTA VILL,13.818,78.902,84.61
175,Petrol,PENAGALUR,14.304,79.267,98.61
176,Diesel,PENAGALUR,14.304,79.267,84.55
177,Petrol,GURRAMKONDA,13.774,78.583,98.84
178,Diesel,GURRAMKONDA,13.774,78.583,84.73
179,Petrol,GUVVALACHERUVU,14.253,78.747,99.02
180,Diesel,GUVVALACHERUVU,14.253,78.747,84.91
181,Petrol,RAMAKUPPAM,12.9,78.489,99.13
182,Diesel,RAMAKUPPAM,12.9,78.489,84.99
183,Petrol,KALAKADA,13.832,78.789,99.27
184,Diesel,KALAKADA,13.832,78.789,85.14
185,Petrol,KALIKIRI,13.638,78.798,99.07
186,Diesel,KALIKIRI,13.638,78.798,87.64
187,Petrol,Ramasamudram Chittoor,13.364,78.429,99.18
188,Diesel,Ramasamudram Chittoor,13.364,78.429,87.73
189,Petrol,KODUR,13.934,79.363,99.27
190,Diesel,KODUR,13.934,79.363,87.79
191,Petrol,PILERU,13.654,78.947,99.35
192,Diesel,PILERU,13.654,78.947,87.88
193,Petrol,ANGALLU,13.633,78.485,99.43
194,Diesel,ANGALLU,13.633,78.485,87.96
195,Petrol,OBULAVARIPALLI,14.063,79.261,99.43
196,Diesel,OBULAVARIPALLI,14.063,79.261,87.97
197,Petrol,LAKKIREDDYPALLE,14.18,78.699,99.43
198,Diesel,LAKKIREDDYPALLE,14.18,78.699,87.97
199,Petrol,APPARAJUPET,14.105,79.216,99.39
200,Diesel,APPARAJUPET,14.105,79.216,87.92
201,Petrol,RAYACHOTY,14.017,78.745,99.47
202,Diesel,RAYACHOTY,14.017,78.745,88
203,Petrol,RAYACHOTY TOWN,14.056,78.735,99.44
204,Diesel,RAYACHOTY TOWN,14.056,78.735,87.97
