name,latitude,longitude,phone,address,location
Adani Charging Station,31.6277889,74.8861418,,"Guru Nanak Bhawan Parking, Phoola Singh Burj, Amritsar",0101000020E610000097A7188CB6B85240B44AFAC5B6A03F40
Adani Charging Station,31.628485,74.8037566,,"Municipal Corporation Office, nr. Service Rd, Guru Colony, Chheharta, Amritsar",0101000020E61000006DBC85BF70B35240CD069964E4A03F40
E-Fill Charging Station,31.6291948,74.8924526,,"JVHR+MXG, Golden Ave Rd, New Golden Avenue, Sharifpura, Amritsar",0101000020E6100000BB8E82F11DB9524032D010E912A13F40
Adani Charging Station,31.6104037,74.8790404,,"G.A, International School Gate, Guru Ram Das Nagar, Himatpura, Amritsar, Amritsar Cantt.",0101000020E61000003777AA3242B852407EDBB86A439C3F40
Adani Charging Station,31.6266483,74.8842449,,"Shop No 48, Suraj, Chanda Cinema, Backside, 50, Guru Nanak Ave, near Bus Stand, Market, Amritsar",0101000020E6100000E8C9EB7797B852401098E2056CA03F40
Adani Charging Station,31.631601,74.868568,,"JVJ9+JCW, Nr Taxi Stand, Backside, Railway Station Rd, Narain Nagar, Goal Bagh, Amritsar",0101000020E610000089963C9E96B75240F31E679AB0A13F40
Adani Charging Station,31.6299314,74.870769,,"JVHC+X8C, inside MCA Vehicle Workshop, Hathi Gate, Katra Ahluwalia, Amritsar",0101000020E6100000B857E6ADBAB7524037B9292F43A13F40
Ather Charging Station,31.6418047,74.8755217,,"Novelty Building, Novelty chowk, Lawrence Road, adjoining Novelty mall, Joshi Colony, Amritsar",0101000020E61000000D1C2B8C08B852404AEB14504DA43F40
Ather Grid Charging Station,31.6212464,74.8975116,,"279, 100 Feet Rd, Anand Nagar, East Mohan Nagar, Amritsar, Amritsar Cantt.",0101000020E6100000F6717ED470B95240FBC10A010A9F3F40
Charge Zone Charging Station,31.6398326,74.8882713,,"Courtyard Amritsar (ATQRA, 52, Mall Rd, Krishna Nagar, Amritsar",0101000020E61000006DDEDD6FD9B8524026EABB11CCA33F40
Ather Grid Charging Station,31.651096,74.863014,,"Ground Flr, Sco 19, B - Block, Ranjit Avenue, Amritsar",0101000020E61000005F7F129F3BB75240718E3A3AAEA63F40
Electric Vehicle Charging Station,31.6340266,74.8539163,,"Itahad Nagar, Amritsar",0101000020E61000005D818D90A6B6524048CB37914FA23F40
Electric Vehicle Charging Station,31.5992539,74.8913554,,"HVXR+PG5, Barnala - Amritsar Bypass Rd, Sultanwind, Amritsar, Amritsar Cantt.",0101000020E61000003B0785F70BB952401E801EB468993F40
Ather Grid Charging Station,31.638395,74.879382,,"Garden, inside Ram Bagh, Maharaja Ranjit Singh Nagar, Company Bagh, Amritsar",0101000020E61000003BAC70CB47B852400FEECEDA6DA33F40
Jio-bp pulse,31.6193733,74.9079893,,"28, Grand Trunk Rd, Rajinder Nagar, Maqbool Pura, Amritsar, Amritsar Cantt.",0101000020E61000008C27277F1CBA5240FE83A33F8F9E3F40
Ather Grid Charging Station,31.6398067,74.8632236,,"JVQ7+W7P, Court Rd, opp. Ravi Gas Agency, Mohindra Colony, Amritsar",0101000020E6100000AAC8320E3FB75240FE42345FCAA33F40
Ather Grid Charging Station,31.6423603,74.8689021,,"14, Mall Rd, Tagore Colony, White Avenue, Amritsar",0101000020E61000003FBB8D179CB75240AEBF80B971A43F40
Ather Grid Charging Station,31.60887,74.927378,,"Near, Grand Trunk Rd, New Amritsar Colony, Amritsar, Amritsar Cantt.",0101000020E6100000EA4141295ABB5240F98381E7DE9B3F40
Ather Grid Charging Station,31.651398,74.86995,,"Shop no 7, Ground floor, Maqbool Rd, near Sukh Sagar Hospital, Anand Avenue, Amritsar",0101000020E6100000EFC9C342ADB7524008AEF204C2A63F40
ChargeGrid Charging Station,31.6489991,74.8155855,,"Wml),on, Ram Tirath Rd, Vill, Mahal Sub Urban, Amritsar",0101000020E6100000E065868D32B4524029A215CE24A63F40
BMW Destination Charging Station,31.520375,74.3587611,,"G9C5+5G2, Lahore - Sheikhupura - Faisalabad Rd, Jodh Singh, El Borma",0101000020E6100000EDE41DF1F5965240F0A7C64B37853F40
Relux Charging Station,31.6041183,76.92494,,"JW3F+JXW, Ner Chowk Rd, beside Discovery Hotel, Ner Chowk, Mandal",0101000020E6100000C9B08A37323B5340456A357FA79A3F40
E-Fill Charging Station,31.602632,76.9245888,,"JW3F+3R4, SH 13, Dohandi, Jarlu",0101000020E6100000DD8F80762C3B5340E8853B17469A3F40
Electric Vehicle Charging Station,31.5831343,76.5186691,,"HGM9+7F3, Hamirpur, Salouni",0101000020E6100000877CE1DF3121534005AD1B4A48953F40
Electric Vehicle Charging Station,31.6056751,76.927445,,"JW4G+7XG, Nagchala, Majhethal",0101000020E6100000AEF545425B3B53406480FA850D9B3F40
Electric Vehicle Charging Station,31.3316735,76.7592146,,"8QJ5+MMG, Bilaspur Sadar, Bilaspur",0101000020E61000005469D5F8963053402A73F38DE8543F40
Electric Vehicle Charging Station,31.3735284,76.8007266,,"Highway Fuel Centre, Ghaghus, Bilaspur, Banaula",0101000020E61000006302C81A3F3353409120A68E9F5F3F40
Electric Vehicle Charging Station,32.6390168,77.1829661,,"J5QM+J54, Leh Manali Hwy, Jispa",0101000020E6100000B5F171B7B54B53401BCC704DCB514040
Statiq Charging Station,18.2593585,73.2629054,,"7756+GXM Hotel Open Umbrella, Mumbai - Goa Hwy, Sale",0101000020E610000046BC2B71D35052408B70935165423240
Electric Vehicle Charging Station,18.6187006,72.9006859,,"MAHAJANWADI ( NANDAVAN) ALIBAUG-REVDANDA ROAD, NEAR BHIMMESHWAR MANDIR TALUKA, DIST, ALI BAUG, AT POST, Nagaon",0101000020E6100000F91D79D6A4395240FD039B29639E3240
Bijlify Charging Station,18.0656445,73.0424475,,"Gulzar Rosary, MH SH 99, Shrivardhan",0101000020E61000000113B875B74252408BA9F413CE103240
Electric Vehicle Charging Station,18.5983506,73.1086699,,"Ground Floor, NH 17, Pen, Nagothane, near Mumbai - Goa Highway, Khar Koleti",0101000020E6100000D0A39872F4465240BF8A42812D993240
BPCL Charging Station,18.3260764,73.235638,,"Wave Diwali, Potner",0101000020E610000078EC67B1144F524057FF31BE79533240
BPCL Charging Station,18.5233991,73.1530555,,"G5F3+963, PATANSAI , NAGOTHANE, Patansai, Nagothane",0101000020E610000044BE4BA9CB4952407E41C17BFD853240
BPCL Charging Station,18.5378578,73.1387486,,"Amtem, Nagothane",0101000020E610000069D7CE41E148524005E67C0CB1893240
BPCL Charging Station,18.2862,73.2457,,"76PW+F7P, Kashene, Indapur, Varak Fata",0101000020E610000024287E8CB94F52407E1D386744493240
Bombay Powerco Charging Station,18.32368,72.95776,,"Marina Hotel, opposite Murud, Municipal Corporation, Murud",0101000020E6100000AF5A99F04B3D5240895E46B1DC523240
Gentari Charging Station,18.4441109,73.2034803,,"C6V3+J9X, Pugaon, Mumbai-Goa, National Highway, Kolad",0101000020E610000056783CD2054D5240104C7F40B1713240
